product_id,product_name,small_category,description,price,created_at,updated_at,deleted_at
3XGSL3ERPT,フューチャースマート,モバイルアクセサリー,フューチャースマートは、最新のAI技術を活用したスマートデバイスで、日常生活をより便利にするための多機能ツールです。音声認識機能により、手を使わずにスケジュール管理や家電操作が可能で、忙しいビジネスパーソンに最適です。また、健康管理機能も搭載しており、運動や食事のアドバイスをリアルタイムで提供します。家庭での利用はもちろん、出張や旅行中でも役立つため、幅広いシチュエーションでお勧めできます。フューチャースマートを使えば、未来のライフスタイルを一歩先取りできます。,17300,2024-02-19 20:42,2024-06-19 08:32,NULL
S3U0MJB7KK,ネクサスフォン,モバイルアクセサリー,ネクサスフォンは、最新の通信技術を搭載したスマートフォンで、高速なデータ転送と長時間のバッテリー持続が特徴です。特に、AIアシスタント機能が充実しており、日常のタスク管理やスケジュール調整をスムーズに行えます。仕事や学業で忙しい方に最適で、オンライン会議やリモートワークにも対応した高品質なカメラが搭載されています。また、ゲームや動画視聴にも最適な大画面ディスプレイで、エンターテインメントを存分に楽しむことができます。どんなシーンでも活躍するネクサスフォンで、あなたの生活をより便利に彩りましょう。,24700,2024-05-04 02:54,NULL,NULL
I4IZKSYTCQ,エコスマートフォン,モバイルアクセサリー,エコスマートフォンは、リサイクル素材を使用した環境に優しいデザインが特徴です。高性能カメラや長持ちするバッテリーを搭載し、日常のコミュニケーションやエンターテインメントに最適です。特にアウトドアや旅行時に、耐久性と軽量さが活かされます。また、エコモード機能により、バッテリー消費を抑えながら長時間の使用が可能です。環境意識の高いユーザーにぴったりな選択肢です。,23900,2024-08-22 15:17,NULL,NULL
OB1GSH8AML,フィットトラッカー「モーションメイト」,SIMカード,「モーションメイト」は、日常の活動量や睡眠をトラッキングするフィットネスデバイスです。心拍数やカロリー消費をリアルタイムでモニタリングし、スマートフォンアプリと連携してデータを分析できます。特に、忙しいビジネスパーソンや健康管理を意識する方に最適で、ジムやランニング、日常のウォーキングでも活用できます。さらに、スタイリッシュなデザインで、普段使いにも適しています。健康的なライフスタイルをサポートする「モーションメイト」をぜひお試しください。,16000,2024-03-18 21:41,2024-06-16 14:15,NULL
F8SX7C1C9V,フィットネスバンド「アクティブリンク」,SIMカード,「アクティブリンク」は、日常のアクティビティをトラッキングする高機能フィットネスバンドです。心拍数や歩数、睡眠の質をリアルタイムでモニタリングし、健康管理をサポートします。特に、屋外でのジョギングやジムでのトレーニング時に最適で、スマートフォンと連携することで、目標達成を視覚的に確認できます。防水機能も備えているため、雨の日や水泳時でも安心して使用可能です。日々の健康維持やフィットネス向上を目指す方にぴったりのアイテムです。,31300,2023-10-02 14:08,2024-03-07 21:30,NULL
7GJOXNES7Z,フィットネスリズム,SIMカード,フィットネスリズムは、音楽に合わせて楽しくエクササイズできる画期的なフィットネスツールです。特に、自宅でのトレーニングやグループワークアウトに最適で、モチベーションを高めるリズム感を提供します。軽量で持ち運びが容易なので、アウトドアや旅行先でも使用可能です。さらに、初心者から上級者まで幅広いレベルに対応したプログラムがあり、誰でも楽しめるのが魅力です。友人や家族と一緒に使えば、楽しさ倍増のフィットネス体験を実現します。,8700,2024-04-18 13:55,NULL,NULL
SGI0Y3UI73,タブレットワークス,スマートフォン,タブレットワークスは、効率的な作業をサポートする多機能タブレットスタンドです。軽量かつ耐久性に優れたデザインで、オフィスや自宅での使用に最適。360度回転可能な機能により、プレゼンテーションやビデオ通話時に視認性が向上します。また、調整可能な角度で、長時間の作業でも快適さを保つことができます。特に、リモートワークやオンライン授業の際に重宝するアイテムです。,22000,2023-09-20 22:01,2024-06-25 03:52,NULL
JWI5KKZTHH,タブレットフロー,スマートフォン,タブレットフローは、軽量でポータブルなデザインが特徴のタブレットスタンドです。多角度調整が可能で、映画鑑賞やビデオ通話、読書など様々なシチュエーションに最適です。滑り止め機能により、安定した使用感を提供し、長時間の使用でも疲れにくい設計になっています。特に、自宅でリラックスしたい時や、オフィスでのプレゼンテーションにも便利です。タブレットフローを使えば、快適なデジタルライフを実現できます。,18600,2024-04-14 16:29,NULL,NULL
URKO071N48,タブレットエッセンス,スマートフォン,タブレットエッセンスは、肌に潤いを与える高濃度の美容液です。特に乾燥が気になる季節や、エアコンの効いた室内での使用に最適です。軽やかなテクスチャーで、素早く肌になじみ、しっとり感を持続させます。また、メイク前のプレケアとしても効果的で、肌のキメを整え、化粧のノリを向上させます。日常生活の中で、手軽に美肌を実現できるアイテムとしておすすめです。,20700,2024-05-15 09:20,NULL,NULL
T3H67ZNK3A,スマートシールドケース,タブレット,スマートシールドケースは、高耐久性の素材を使用し、衝撃や傷からスマートフォンを守るために設計されています。薄型ながらも優れた保護機能を持ち、手に馴染むデザインが特徴です。特にアウトドアやスポーツシーンでの使用に最適で、持ち運びやすさも考慮されています。さらに、ワイヤレス充電対応で、便利さも兼ね備えています。日常生活からアクティブなシーンまで、幅広く活躍するアイテムです。,5200,2024-08-02 19:39,NULL,NULL
