report_id,user_id,material,created_at,updated_at,deleted_at
H1ZAS1C2YN,93852109,_企業名：グリーンテック株式会社：_訪問時間：2023年10月5日 14:00：_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案：_同行者名：佐藤太郎：_お客様の課題：エネルギー効率の改善とコスト削減：_次回訪問日程：2023年10月12日：_次回訪問目的（上記の訪問目的と同項目）：フォロー：_フリーフォーマット：本日はグリーンテック株式会社の山田様とエネルギー管理システムの提案について商談を行いました。現状の課題としてエネルギーコストの増加と効率的な管理が挙げられ、当社のソリューションがどのように役立つかを具体的に説明しました。次回は提案内容のフィードバックを受ける予定です。,2023-09-01 03:53,2024-06-09 10:40,NULL
DYQH3WUQ4V,50360736,_企業名：株式会社グリーンテック_訪問時間：2023年10月10日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案_同行者名：山田太郎_お客様の課題：新製品の導入に伴うコスト削減と効率化のニーズ_次回訪問日程：2023年10月24日_次回訪問目的（上記の訪問目的と同項目）：フォロー_フリーフォーマット：本日は株式会社グリーンテックの佐藤様とお会いし、弊社の新製品「エコブースター」を提案しました。導入によるコスト削減効果や効率化の具体例を示し、関心を持っていただけました。次回は導入に向けた具体的なプランを提案する予定です。,2023-09-01 11:07,2024-06-04 18:19,NULL
C4ZFXIRTA3,68785531,_企業名：株式会社グリーンテクノロジー_訪問時間：2023年10月5日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案_同行者名：佐藤太郎_お客様の課題：新しいエネルギー管理システムの導入に関するコスト削減と効率化_次回訪問日程：2023年10月12日_次回訪問目的（上記の訪問目的と同項目）：フォロー_フリーフォーマット：本日は、株式会社グリーンテクノロジーの田中部長と商談を行い、新しいエネルギー管理システムの導入について具体的な提案をしました。コスト削減や効率化のニーズを確認し、次回のフォローアップで詳細な資料を持参することを約束しました。,2023-09-01 12:00,2023-11-18 12:45,NULL
QOR7TB4FJJ,16516339,_企業名：株式会社エコテック_訪問時間：2023年10月10日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案_同行者名：山田太郎_お客様の課題：エネルギー効率の向上とコスト削減_次回訪問日程：2023年10月24日_次回訪問目的（上記の訪問目的と同項目）：フォロー_フリーフォーマット：本日は株式会社エコテックの田中部長と商談を行い、弊社の新しいエネルギー管理システムの提案をしました。現状のエネルギーコストが高いことを課題としており、具体的な導入効果を示すことで関心を引きました。次回は導入に向けた具体的なプランを提案する予定です。,2023-09-02 03:08,2023-10-11 17:48,NULL
LYC7LYPIG3,29372843,_企業名：トリニティ株式会社：_訪問時間：2023年10月5日 14:00：_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案：_同行者名：佐藤 太郎：_お客様の課題：新製品の市場投入に向けたプロモーション戦略の策定：_次回訪問日程：2023年10月12日：_次回訪問目的（上記の訪問目的と同項目）：フォロー：_フリーフォーマット：本日はトリニティ株式会社のマーケティング部門の田中様と商談を行い、新製品のプロモーションに関する課題をヒアリングしました。具体的には、ターゲット層の明確化と効果的な広告手法についてのニーズがあり、弊社のサービスがどのように貢献できるかを提案しました。次回は提案内容をもとに具体的なプランを持参し、さらなる詳細を詰める予定です。,2023-09-02 13:12,2023-10-16 12:16,NULL
WIREEGLYGL,37112060,_企業名：ユニコーンファクトリー_訪問時間：2023年10月10日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：初回訪問_同行者名：ドラゴンセールス_お客様の課題：新製品の市場投入に向けた戦略の検討_次回訪問日程：2023年10月24日_次回訪問目的（上記の訪問目的と同項目）：提案_フリーフォーマット：本日はユニコーンファクトリーのマーケティング担当、ペガサス氏と商談を行い、新製品の市場投入に関する具体的なニーズをヒアリングしました。ペガサス氏は競合との差別化を図りたいとのことで、特にデジタルマーケティング戦略に興味を示していました。次回は具体的な提案を行う予定です。,2023-09-02 14:28,2023-10-12 18:05,NULL
Y15O1UY3H2,34993042,_企業名：ユニコーン・インフィニティ株式会社：_訪問時間：2023年10月10日 14:00：_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案：_同行者名：ドラゴン・マスター田中：_お客様の課題：新製品の市場投入に伴うプロモーション戦略の不足：_次回訪問日程：2023年10月24日：_次回訪問目的（上記の訪問目的と同項目）：提案：_フリーフォーマット：本日はユニコーン・インフィニティ株式会社のマーケティング担当者、エルフ・スミスさんと商談を行い、彼らが新製品の市場投入に際して直面しているプロモーション戦略の不足について詳しく伺いました。提案として、我々の最新のマーケティングツールを活用した戦略を提示し、具体的な数値目標を設定することの重要性を強調しました。次回は、提案内容をさらに深めるための詳細なプレゼンテーションを行う予定です。,2023-09-03 03:00,2024-05-21 09:12,NULL
U9ORRZ4OCL,49780674,_企業名：ユニコーンテクノロジーズ株式会社_訪問時間：2023年10月5日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案_同行者名：ドラゴン営業部長_お客様の課題：新製品の市場投入に伴うプロモーション戦略の不足_次回訪問日程：2023年10月12日_次回訪問目的（上記の訪問目的と同項目）：フォロー_フリーフォーマット：本日の商談では、ユニコーンテクノロジーズの新製品のプロモーション戦略について提案を行いました。お客様からは、ターゲット層の明確化とデジタルマーケティングの活用に関する具体的な要望がありました。次回は、提案内容の具体化と実施プランの確認を行う予定です。,2023-09-05 10:38,2023-09-08 18:22,NULL
U4BR5IN8T1,97823141,_企業名：ユニコーン株式会社_訪問時間：2023年10月1日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案_同行者名：ドラゴン田中_お客様の課題：新製品導入に伴うコスト削減と効率化の必要性_次回訪問日程：2023年10月15日_次回訪問目的（上記の訪問目的と同項目）：フォロー_フリーフォーマット：本日はユニコーン株式会社の佐藤様と商談を行い、新製品導入に関する具体的な提案を行いました。特にコスト削減の観点から、弊社のソリューションがどのように役立つかを詳しく説明し、興味を持っていただけました。次回はさらに具体的なデータを持参し、効果を実証する予定です。,2023-09-09 11:16,2024-06-08 18:26,NULL
1HBGMENDW4,88977777,_企業名：ユニコーンテクノロジーズ株式会社_訪問時間：2023年10月10日 14:00_訪問目的（初回訪問、精査、提案、クローズ、関係構築、フォロー、納品など）：提案_同行者名：ドラゴン山田_お客様の課題：新製品の市場投入に向けたマーケティング戦略の不足_次回訪問日程：2023年10月24日_次回訪問目的（上記の訪問目的と同項目）：提案_フリーフォーマット：本日はユニコーンテクノロジーズ株式会社のマーケティング担当、ペガサス井上さんと商談を行いました。新製品の市場投入に向けて、彼らの現在のマーケティング戦略に課題があることを確認しました。具体的には、ターゲット層の明確化と効果的なプロモーション手法が不足しているとのことでした。私たちの提案として、データ分析を基にしたターゲットの再設定と、SNSを活用したプロモーション戦略を提示しました。次回は、具体的なプランを持参し、さらに深い議論を進める,2023-09-09 16:17,2024-02-29 10:01,NULL
